timestamp,event,attention_state,window
2026-03-13 20:20:46.382258,window_switch,Attention Shift,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:46.876772,mouse_click,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.448964,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.456573,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.463606,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.470270,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.478,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.484868,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.492624,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.498902,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.506557,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.513761,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.520768,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.527834,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.534644,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.541597,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.549052,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.556137,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.563477,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.570337,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
2026-03-13 20:20:47.577722,mouse_move,Active Engagement,tracker1.py - attentionmap - Visual Studio Code
